naam,code
Nieuw Sloten Zuidoost,F88i
Dorp Sloten,F88j
Louis Chrispijnbuurt,F89a
Jacques Veldmanbuurt,F89b
Staalmanbuurt,F89c
Medisch Centrum Slotervaart,F89d
Zuidas Noord,K23a
RAI,K23b
VU-kwartier,K23c
Zuidas Zuid,K23d
Vivaldi,K23e
Hemonybuurt,K24a
Gerard Doubuurt,K24b
Frans Halsbuurt,K24c
Hercules Seghersbuurt,K24d
Sarphatiparkbuurt,K24e
Willibrordusbuurt,K25a
Van der Helstpleinbuurt,K25b
Lizzy Ansinghbuurt,K25c
Cornelis Troostbuurt,K25d
Diamantbuurt,K26a
Burgemeester Tellegenbuurt Oost,K26b
Burgemeester Tellegenbuurt West,K26c
Surinamepleinbuurt,K44a
Westlandgrachtbuurt,K44b
Aalsmeerwegbuurt West,K44c
Aalsmeerwegbuurt Oost,K44d
Legmeerpleinbuurt,K44e
Bedrijventerrein Schinkel,K44f
Schinkelbuurt Noord,K45a
Schinkelbuurt Zuid,K45b
Valeriusbuurt Oost,K46a
Valeriusbuurt West,K46b
Willemsparkbuurt Noord,K46c
Vondelpark West,K46d
Johannnes Vermeerbuurt,K47a
P.C. Hooftbuurt,K47b
Concertgebouwbuurt,K47c
Cornelis Schuytbuurt,K47d
Banpleinbuurt,K47e
Hondecoeterbuurt,K47f
Harmoniehofbuurt,K47g
Museumplein,K47h
Vondelpark Oost,K47i
Duivelseiland,K47j
Bertelmanpleinbuurt,K48a
Marathonbuurt Oost,K48b
Marathonbuurt West,K48c
Olympisch Stadion e.o.,K48d
IJsbaanpad e.o.,K48e
Van Tuyllbuurt,K48f
Diepenbrockbuurt,K49a
Beethovenbuurt,K49b
Hiltonbuurt,K49c
Minervabuurt Noord,K49d
Minervabuurt Midden,K49e
Minervabuurt Zuid,K49f
Wielingenbuurt,K52a
Scheldebuurt West,K52b
Scheldebuurt Midden,K52c
Scheldebuurt Oost,K52d
Veluwebuurt,K52g
Kop Zuidas,K52h
IJselbuurt West,K53a
IJselbuurt Oost,K53b
Kromme Mijdrechtbuurt,K54a
Rijnbuurt Oost,K54b
Rijnbuurt Midden,K54c
Rijnbuurt West,K54d
Zorgvlied,K54e
Prinses Irenebuurt,K59a
Beatrixpark,K59b
Gelderlandpleinbuurt,K90a
Buitenveldert Midden Zuid,K90c
Buitenveldert Zuidwest,K90d
Amsterdamse Bos,K90e
Buitenveldert West Midden,K90i
Zuiderhof,K90j
De Klenckebuurt,K91a
Buitenveldert Oost Midden,K91b
Buitenveldert Zuidoost,K91c
Amstelpark,K91d
Swammerdambuurt,M27a
Weesperzijde Midden/Zuid,M27b
Parooldriehoek,M27c
Oosterparkbuurt Noordwest,M28a
Oosterpark,M28b
Oosterparkbuurt Zuidoost,M28c
Oosterparkbuurt Zuidwest,M28d
Dapperbuurt Noord,M29a
