,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
13,52.3631,4.8808,Leidsebosje,2,4,Evening
12,52.3637,4.8822,Leidseplein,2,3,Evening
11,52.3631,4.8808,Leidsebosje,2,3,Evening
10,52.3637,4.8822,Leidseplein,2,2,Evening
9,52.3631,4.8808,Leidsebosje,2,2,Evening
4,52.3637,4.8822,Leidseplein,1,5,Evening
3,52.3631,4.8808,Leidsebosje,1,4,Evening
2,52.3631,4.8808,Leidsebosje,1,3,Evening
75,52.3631,4.8808,Leidsebosje,5,2,Evening
35,52.3631,4.8808,Leidsebosje,3,5,Evening
34,52.3687,4.8772,Appeltjesmarkt,3,5,Evening
33,52.3637,4.8822,Leidseplein,3,5,Evening
32,52.3687,4.8772,Appeltjesmarkt,3,4,Evening
31,52.3637,4.8822,Leidseplein,3,4,Evening
30,52.3631,4.8808,Leidsebosje,3,4,Evening
29,52.3687,4.8772,Appeltjesmarkt,3,3,Evening
27,52.3631,4.8808,Leidsebosje,3,3,Evening
26,52.3612,4.908,Weesperplein,3,2,Evening
25,52.3637,4.8822,Leidseplein,3,2,Evening
24,52.3631,4.8808,Leidsebosje,3,2,Evening
28,52.3637,4.8822,Leidseplein,3,3,Evening
76,52.3637,4.8822,Leidseplein,5,2,Evening
78,52.3687,4.8772,Appeltjesmarkt,5,2,Evening
112,52.3637,4.8822,Leidseplein,6,2,Evening
113,52.3612,4.908,Weesperplein,6,2,Evening
114,52.3687,4.8772,Appeltjesmarkt,6,2,Evening
115,52.3713,4.87531,Groenmarkt,6,2,Evening
116,52.354702,4.85755,Vondelpark,6,2,Evening
117,52.3631,4.8808,Leidsebosje,6,3,Evening
118,52.3637,4.8822,Leidseplein,6,3,Evening
119,52.3687,4.8772,Appeltjesmarkt,6,3,Evening
77,52.3612,4.908,Weesperplein,5,2,Evening
121,52.3713,4.87531,Groenmarkt,6,3,Evening
122,52.3612,4.908,Weesperplein,6,3,Evening
123,52.3631,4.8808,Leidsebosje,6,4,Evening
124,52.3637,4.8822,Leidseplein,6,4,Evening
125,52.3687,4.8772,Appeltjesmarkt,6,4,Evening
126,52.3713,4.87531,Groenmarkt,6,4,Evening
127,52.3628595,4.8833056,Max Euweplein,6,4,Evening
128,52.3612,4.908,Weesperplein,6,4,Evening
129,52.3637,4.8822,Leidseplein,6,5,Evening
