OBJECTNUMMER,Functie,Functie_gecorrigeerd,VOT_ID,Adres,Aantal_adressen,Gebruiksdoel,WOZ_gebruik,Hoofdfunctie,Hoofdfunctie_ID,Gebruiksoppervlakte,lng,lat,Unnamed: 17
25277,wijk- / buurtcentrum,0,363010001975680,Saaftingestraat 316,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1054,4.7906,52.360434,
25937,wijk- / buurtcentrum,0,363010000809943,Singel 165A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,145,4.889491,52.374417,
26410,wijk- / buurtcentrum,0,363010011005152,Smaragdplein 5,0,onderwijsfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,2052,4.905664,52.3509,
27601,wijk- / buurtcentrum,0,363010001170030,Suikerplein 1,0,overige gebruiksfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,42,4.881054,52.38922,
27903,wijk- / buurtcentrum,0,363010012084923,Theodorus Dobbestraat 105,0,overige gebruiksfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,53,4.830364,52.379547,
28190,wijk- / buurtcentrum,0,363010012072523,Transvaalkade 120,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,314,4.917773,52.350877,
28333,wijk- / buurtcentrum,0,363010012072269,Tugelaweg 59A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,163,4.920671,52.355787,
28733,wijk- / buurtcentrum,0,363010000552239,Tweede Kostverlorenkade 15,0,woonfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,356,4.865793,52.370388,
28759,wijk- / buurtcentrum,0,363010001007059,Tweede Leeghwaterstraat 5B,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,413,4.93096,52.370198,
29343,wijk- / buurtcentrum,0,363010011951709,Van Beuningenplein 19,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,105,4.870761,52.38132,
29648,wijk- / buurtcentrum,0,363010000841906,Van Limburg Stirumstraat 119,0,woonfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,678,4.876551,52.383601,
29865,wijk- / buurtcentrum,0,363010011118321,Van Speijkstraat 65A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,745,4.85995,52.367809,
30587,wijk- / buurtcentrum,0,363010000856050,Volendammerweg 150,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,535,4.958001,52.392049,
30731,wijk- / buurtcentrum,0,363010012069637,Vrolikstraat 157/H,0,bijeenkomstfunctie|industriefunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,184,4.912688,52.355611,
31166,wijk- / buurtcentrum,0,363010000864011,Weesperplein 11/2,0,woonfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,45,4.908142,52.362046,
31402,wijk- / buurtcentrum,0,363010003764053,Westerpark 1A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,537,4.881206,52.386201,
32160,wijk- / buurtcentrum,0,363010001031165,William Barlowlaan 1,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,161,4.982209,52.361666,
32177,wijk- / buurtcentrum,0,363010000873938,Wiltzanghlaan 90,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,450,4.840011,52.38209,
32201,wijk- / buurtcentrum,0,363010001035962,Wingerdweg 260B,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,324,4.918713,52.396717,
32891,wijk- / buurtcentrum,0,363010000881320,Zuidermolenweg 3,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,0,4.785996,52.360007,
