origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.30187026_4.88177715,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.30742444_4.97326246,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.34122656_4.96464743,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.35790106_4.8859532,52.383729_4.8902195,428,A05,Haarlemmerbuurt
52.30697114_5.01931383,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.33239698_4.94041243,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.37256242_4.87565532,52.383729_4.8902195,240,A05,Haarlemmerbuurt
52.40643251_4.88930498,52.383729_4.8902195,697,A05,Haarlemmerbuurt
52.37010431_4.90925773,52.383729_4.8902195,245,A05,Haarlemmerbuurt
52.36636082_4.80218278,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.34879041_4.84370537,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.38459839_4.86331622,52.383729_4.8902195,192,A05,Haarlemmerbuurt
52.36045023_4.92916923,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.348825_4.9148372,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.39622675_4.95481232,52.383729_4.8902195,99999,A05,Haarlemmerbuurt
52.30187026_4.88177715,52.3745525_4.8814385,99999,A06,Jordaan
52.30742444_4.97326246,52.3745525_4.8814385,99999,A06,Jordaan
52.34122656_4.96464743,52.3745525_4.8814385,99999,A06,Jordaan
52.35790106_4.8859532,52.3745525_4.8814385,320,A06,Jordaan
52.30697114_5.01931383,52.3745525_4.8814385,99999,A06,Jordaan
52.33239698_4.94041243,52.3745525_4.8814385,99999,A06,Jordaan
52.37256242_4.87565532,52.3745525_4.8814385,104,A06,Jordaan
52.40643251_4.88930498,52.3745525_4.8814385,99999,A06,Jordaan
52.37010431_4.90925773,52.3745525_4.8814385,408,A06,Jordaan
52.36636082_4.80218278,52.3745525_4.8814385,99999,A06,Jordaan
52.34879041_4.84370537,52.3745525_4.8814385,99999,A06,Jordaan
52.38459839_4.86331622,52.3745525_4.8814385,321,A06,Jordaan
52.36045023_4.92916923,52.3745525_4.8814385,99999,A06,Jordaan
52.348825_4.9148372,52.3745525_4.8814385,99999,A06,Jordaan
52.39622675_4.95481232,52.3745525_4.8814385,99999,A06,Jordaan
52.30187026_4.88177715,52.3620555_4.8919255,99999,A07,De Weteringschans
52.30742444_4.97326246,52.3620555_4.8919255,99999,A07,De Weteringschans
52.34122656_4.96464743,52.3620555_4.8919255,99999,A07,De Weteringschans
52.35790106_4.8859532,52.3620555_4.8919255,158,A07,De Weteringschans
52.30697114_5.01931383,52.3620555_4.8919255,99999,A07,De Weteringschans
52.33239698_4.94041243,52.3620555_4.8919255,99999,A07,De Weteringschans
52.37256242_4.87565532,52.3620555_4.8919255,262,A07,De Weteringschans
52.40643251_4.88930498,52.3620555_4.8919255,99999,A07,De Weteringschans
52.37010431_4.90925773,52.3620555_4.8919255,299,A07,De Weteringschans
52.36636082_4.80218278,52.3620555_4.8919255,99999,A07,De Weteringschans
52.34879041_4.84370537,52.3620555_4.8919255,99999,A07,De Weteringschans
52.38459839_4.86331622,52.3620555_4.8919255,498,A07,De Weteringschans
52.36045023_4.92916923,52.3620555_4.8919255,377,A07,De Weteringschans
52.348825_4.9148372,52.3620555_4.8919255,339,A07,De Weteringschans
52.39622675_4.95481232,52.3620555_4.8919255,99999,A07,De Weteringschans
52.30187026_4.88177715,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.30742444_4.97326246,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.34122656_4.96464743,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.35790106_4.8859532,52.3644555_4.911765,298,A08,Weesperbuurt/Plantage
52.30697114_5.01931383,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.33239698_4.94041243,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.37256242_4.87565532,52.3644555_4.911765,417,A08,Weesperbuurt/Plantage
52.40643251_4.88930498,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.37010431_4.90925773,52.3644555_4.911765,186,A08,Weesperbuurt/Plantage
52.36636082_4.80218278,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.34879041_4.84370537,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.38459839_4.86331622,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.36045023_4.92916923,52.3644555_4.911765,259,A08,Weesperbuurt/Plantage
52.348825_4.9148372,52.3644555_4.911765,288,A08,Weesperbuurt/Plantage
52.39622675_4.95481232,52.3644555_4.911765,99999,A08,Weesperbuurt/Plantage
52.30187026_4.88177715,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.30742444_4.97326246,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.34122656_4.96464743,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.35790106_4.8859532,52.3707205_4.9218295,434,A09,Oostelijke Eilanden/Kadijken
52.30697114_5.01931383,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.33239698_4.94041243,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.37256242_4.87565532,52.3707205_4.9218295,446,A09,Oostelijke Eilanden/Kadijken
52.40643251_4.88930498,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.37010431_4.90925773,52.3707205_4.9218295,125,A09,Oostelijke Eilanden/Kadijken
52.36636082_4.80218278,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.34879041_4.84370537,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.38459839_4.86331622,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.36045023_4.92916923,52.3707205_4.9218295,233,A09,Oostelijke Eilanden/Kadijken
52.348825_4.9148372,52.3707205_4.9218295,424,A09,Oostelijke Eilanden/Kadijken
52.39622675_4.95481232,52.3707205_4.9218295,99999,A09,Oostelijke Eilanden/Kadijken
52.30187026_4.88177715,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.30742444_4.97326246,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.34122656_4.96464743,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.35790106_4.8859532,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.30697114_5.01931383,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.33239698_4.94041243,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.37256242_4.87565532,52.390432_4.8744225,342,E13,Spaarndammer- en Zeeheldenbuurt
52.40643251_4.88930498,52.390432_4.8744225,777,E13,Spaarndammer- en Zeeheldenbuurt
52.37010431_4.90925773,52.390432_4.8744225,443,E13,Spaarndammer- en Zeeheldenbuurt
52.36636082_4.80218278,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.34879041_4.84370537,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.38459839_4.86331622,52.390432_4.8744225,294,E13,Spaarndammer- en Zeeheldenbuurt
52.36045023_4.92916923,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.348825_4.9148372,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.39622675_4.95481232,52.390432_4.8744225,99999,E13,Spaarndammer- en Zeeheldenbuurt
52.30187026_4.88177715,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
52.30742444_4.97326246,52.38081_4.8752065,99999,E14,Staatsliedenbuurt
