,index,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
103,3,52.3713,4.87531,Groenmarkt,4,4,Night
104,0,52.3637,4.8822,Leidseplein,4,5,Morning
105,1,52.3687,4.8772,Appeltjesmarkt,4,5,Morning
106,2,52.3631,4.8808,Leidsebosje,4,5,Morning
107,3,52.3628595,4.8833056,Max Euweplein,4,5,Morning
108,0,52.3637,4.8822,Leidseplein,4,5,Afternoon
109,1,52.3687,4.8772,Appeltjesmarkt,4,5,Afternoon
110,2,52.3631,4.8808,Leidsebosje,4,5,Afternoon
111,3,52.3628595,4.8833056,Max Euweplein,4,5,Afternoon
112,0,52.3637,4.8822,Leidseplein,4,5,Evening
113,1,52.3687,4.8772,Appeltjesmarkt,4,5,Evening
114,2,52.3631,4.8808,Leidsebosje,4,5,Evening
115,3,52.3628595,4.8833056,Max Euweplein,4,5,Evening
116,0,52.3637,4.8822,Leidseplein,4,5,Night
117,1,52.3687,4.8772,Appeltjesmarkt,4,5,Night
118,2,52.3631,4.8808,Leidsebosje,4,5,Night
119,3,52.3628595,4.8833056,Max Euweplein,4,5,Night
120,0,52.3631,4.8808,Leidsebosje,5,2,Morning
121,1,52.3637,4.8822,Leidseplein,5,2,Morning
122,2,52.3612,4.908,Weesperplein,5,2,Morning
123,3,52.3687,4.8772,Appeltjesmarkt,5,2,Morning
124,4,52.3713,4.87531,Groenmarkt,5,2,Morning
125,0,52.3631,4.8808,Leidsebosje,5,2,Afternoon
126,1,52.3637,4.8822,Leidseplein,5,2,Afternoon
127,2,52.3612,4.908,Weesperplein,5,2,Afternoon
128,3,52.3687,4.8772,Appeltjesmarkt,5,2,Afternoon
129,4,52.3713,4.87531,Groenmarkt,5,2,Afternoon
130,0,52.3631,4.8808,Leidsebosje,5,2,Evening
131,1,52.3637,4.8822,Leidseplein,5,2,Evening
132,2,52.3612,4.908,Weesperplein,5,2,Evening
133,3,52.3687,4.8772,Appeltjesmarkt,5,2,Evening
134,4,52.3713,4.87531,Groenmarkt,5,2,Evening
135,0,52.3631,4.8808,Leidsebosje,5,2,Night
136,1,52.3637,4.8822,Leidseplein,5,2,Night
137,2,52.3612,4.908,Weesperplein,5,2,Night
138,3,52.3687,4.8772,Appeltjesmarkt,5,2,Night
139,4,52.3713,4.87531,Groenmarkt,5,2,Night
140,0,52.3631,4.8808,Leidsebosje,5,3,Morning
141,1,52.3637,4.8822,Leidseplein,5,3,Morning
142,2,52.3687,4.8772,Appeltjesmarkt,5,3,Morning
143,3,52.3628595,4.8833056,Max Euweplein,5,3,Morning
144,4,52.3713,4.87531,Groenmarkt,5,3,Morning
145,0,52.3631,4.8808,Leidsebosje,5,3,Afternoon
146,1,52.3637,4.8822,Leidseplein,5,3,Afternoon
147,2,52.3687,4.8772,Appeltjesmarkt,5,3,Afternoon
148,3,52.3628595,4.8833056,Max Euweplein,5,3,Afternoon
149,4,52.3713,4.87531,Groenmarkt,5,3,Afternoon
