buurt,prioriteit,dagdeel,uur,code,LAT,LNG
Bijlmer-Centrum (D,3,Ochtend,3,,,
Bijlmer-Oost (E,1,Avond,282,,,
Bijlmer-Oost (E,1,Middag,229,,,
Bijlmer-Oost (E,1,Nacht,111,,,
Bijlmer-Oost (E,1,Ochtend,105,,,
Bijlmer-Oost (E,2,Avond,46,,,
Bijlmer-Oost (E,2,Middag,34,,,
Bijlmer-Oost (E,2,Nacht,26,,,
Bijlmer-Oost (E,2,Ochtend,14,,,
Bijlmer-Oost (E,3,Avond,4,,,
Bijlmer-Oost (E,3,Middag,2,,,
Bomenrijk,1,Avond,10,,,
Bomenrijk,1,Middag,5,,,
Bomenrijk,1,Nacht,7,,,
Bomenrijk,1,Ochtend,3,,,
Bomenrijk,2,Avond,3,,,
Bomenrijk,2,Middag,1,,,
Bomenrijk,2,Nacht,5,,,
Bomenrijk,2,Ochtend,1,,,
Bovenkerk en Legmeer,1,Avond,17,,,
Bovenkerk en Legmeer,1,Middag,21,,,
Bovenkerk en Legmeer,1,Nacht,6,,,
Bovenkerk en Legmeer,1,Ochtend,13,,,
Bovenkerk en Legmeer,2,Avond,2,,,
Bovenkerk en Legmeer,2,Nacht,1,,,
Bovenkerk en Legmeer,2,Ochtend,1,,,
Bovenlanden,1,Avond,18,,,
Bovenlanden,1,Middag,21,,,
Bovenlanden,1,Nacht,13,,,
Bovenlanden,1,Ochtend,13,,,
Bovenlanden,2,Avond,2,,,
Bovenlanden,2,Nacht,4,,,
Bovenlanden,2,Ochtend,1,,,
Bovenlanden,3,Ochtend,1,,,
Buiksloterham,1,Avond,115,,,
Buiksloterham,1,Middag,103,,,
Buiksloterham,1,Nacht,89,,,
Buiksloterham,1,Ochtend,86,,,
Buiksloterham,2,Avond,26,,,
Buiksloterham,2,Middag,9,,,
Buiksloterham,2,Nacht,12,,,
Buiksloterham,2,Ochtend,9,,,
Buiksloterham,3,Avond,1,,,
Buiksloterham,3,Middag,2,,,
Buikslotermeer,1,Avond,160,N69,52.400173,4.9381745
Buikslotermeer,1,Middag,127,N69,52.400173,4.9381745
Buikslotermeer,1,Nacht,80,N69,52.400173,4.9381745
Buikslotermeer,1,Ochtend,80,N69,52.400173,4.9381745
Buikslotermeer,2,Avond,34,N69,52.400173,4.9381745
Buikslotermeer,2,Middag,27,N69,52.400173,4.9381745
Buikslotermeer,2,Nacht,21,N69,52.400173,4.9381745
Buikslotermeer,2,Ochtend,14,N69,52.400173,4.9381745
Buikslotermeer,3,Middag,1,N69,52.400173,4.9381745
Buitengebied-Noord,1,Avond,14,,,
Buitengebied-Noord,1,Middag,41,,,
Buitengebied-Noord,1,Nacht,9,,,
Buitengebied-Noord,1,Ochtend,22,,,
Buitengebied-Noord,2,Avond,2,,,
Buitengebied-Noord,2,Middag,3,,,
Buitengebied-Noord,2,Nacht,1,,,
Buitengebied-Noord,3,Avond,1,,,
Buitengebied-Zuid,1,Avond,28,,,
Buitengebied-Zuid,1,Middag,20,,,
Buitengebied-Zuid,1,Nacht,12,,,
Buitengebied-Zuid,1,Ochtend,16,,,
Buitengebied-Zuid,2,Avond,5,,,
Buitengebied-Zuid,2,Middag,7,,,
Buitengebied-Zuid,2,Nacht,1,,,
Buitengebied-Zuid,3,Middag,1,,,
Buitenlust,1,Avond,7,,,
Buitenlust,1,Middag,4,,,
Buitenlust,1,Nacht,4,,,
Buitenlust,1,Ochtend,2,,,
Buitenlust,2,Avond,5,,,
Buitenlust,2,Middag,3,,,
Buitenlust,2,Nacht,1,,,
Buitenveldert-Oost,1,Avond,79,K91,52.329135,4.8885105
Buitenveldert-Oost,1,Middag,62,K91,52.329135,4.8885105
Buitenveldert-Oost,1,Nacht,43,K91,52.329135,4.8885105
Buitenveldert-Oost,1,Ochtend,41,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Avond,20,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Middag,9,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Nacht,8,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Ochtend,9,K91,52.329135,4.8885105
Buitenveldert-Oost,3,Ochtend,1,K91,52.329135,4.8885105
Buitenveldert-West,1,Avond,128,K90,52.3301585,4.848372
Buitenveldert-West,1,Middag,160,K90,52.3301585,4.848372
Buitenveldert-West,1,Nacht,74,K90,52.3301585,4.848372
Buitenveldert-West,1,Ochtend,135,K90,52.3301585,4.848372
Buitenveldert-West,2,Avond,40,K90,52.3301585,4.848372
Buitenveldert-West,2,Middag,21,K90,52.3301585,4.848372
Buitenveldert-West,2,Nacht,13,K90,52.3301585,4.848372
Buitenveldert-West,2,Ochtend,9,K90,52.3301585,4.848372
Buitenveldert-West,3,Ochtend,1,K90,52.3301585,4.848372
Burgwallen-Nieuwe Zijde,1,Avond,190,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Middag,213,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Nacht,126,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Ochtend,191,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Avond,17,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Middag,17,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Nacht,29,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Ochtend,8,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,3,Avond,1,A01,52.374935,4.897118
