wijk,prioriteit,dagdeel,count,code,LAT,LNG
Buitenveldert-Oost,2,Middag,9,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Nacht,8,K91,52.329135,4.8885105
Buitenveldert-Oost,2,Ochtend,9,K91,52.329135,4.8885105
Buitenveldert-Oost,3,Ochtend,1,K91,52.329135,4.8885105
Buitenveldert-West,1,Avond,128,K90,52.3301585,4.848372
Buitenveldert-West,1,Middag,160,K90,52.3301585,4.848372
Buitenveldert-West,1,Nacht,74,K90,52.3301585,4.848372
Buitenveldert-West,1,Ochtend,135,K90,52.3301585,4.848372
Buitenveldert-West,2,Avond,40,K90,52.3301585,4.848372
Buitenveldert-West,2,Middag,21,K90,52.3301585,4.848372
Buitenveldert-West,2,Nacht,13,K90,52.3301585,4.848372
Buitenveldert-West,2,Ochtend,9,K90,52.3301585,4.848372
Buitenveldert-West,3,Ochtend,1,K90,52.3301585,4.848372
Burgwallen-Nieuwe Zijde,1,Avond,190,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Middag,213,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Nacht,126,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,1,Ochtend,191,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Avond,17,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Middag,17,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Nacht,29,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,2,Ochtend,8,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,3,Avond,1,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,3,Middag,1,A01,52.374935,4.897118
Burgwallen-Nieuwe Zijde,3,Nacht,1,A01,52.374935,4.897118
Burgwallen-Oude Zijde,1,Avond,159,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Middag,112,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Nacht,94,A00,52.372295,4.897634
Burgwallen-Oude Zijde,1,Ochtend,140,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Avond,12,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Middag,3,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Nacht,29,A00,52.372295,4.897634
Burgwallen-Oude Zijde,2,Ochtend,7,A00,52.372295,4.897634
Burgwallen-Oude Zijde,3,Avond,1,A00,52.372295,4.897634
